armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
96,-620.8559,-1879.2024,-179.96875,74.0,BombsiteA,flameZ,76561197978835160,ct,ct,4,21,79,chest,t,52548,-651.7659,-902.3352,-232.79749,100,Middle,PR,76561198310561479,t,m4a1,21,8
82,-631.9075,-901.8232,-233.05347,79.0,Middle,PR,76561198310561479,t,ct,15,107,0,head,t,52579,-599.8543,-1878.8403,-179.96875,74,BombsiteA,flameZ,76561197978835160,ct,ak47,74,8
95,-2599.0876,512.29956,-167.84338,96.0,BombsiteB,mezii,76561197973140692,ct,ct,4,33,66,stomach,t,52580,-1798.3145,629.9686,-27.0625,99,Apartments,Tauson,76561198316706174,t,ak47,33,8
92,-2598.7612,510.04654,-167.84302,96.0,BombsiteB,mezii,76561197973140692,ct,ct,3,26,40,chest,t,52587,-1795.344,629.96826,-56.390625,66,Apartments,Tauson,76561198316706174,t,ak47,26,8
89,-2599.007,511.82898,-167.8432,96.0,BombsiteB,mezii,76561197973140692,ct,ct,3,26,14,chest,t,52593,-1790.8324,629.9767,-89.140625,40,Apartments,Tauson,76561198316706174,t,ak47,26,8
100,-1781.0632,626.3918,-167.96875,14.0,Apartments,Tauson,76561198316706174,t,ct,0,26,70,right_leg,t,52609,-2599.987,518.6423,-167.8443,96,BombsiteB,mezii,76561197973140692,ct,ak47,26,8
96,-1781.2114,627.5001,-167.96875,14.0,Apartments,Tauson,76561198316706174,t,ct,4,33,37,stomach,t,52615,-2600.0803,519.3127,-167.84436,70,BombsiteB,mezii,76561197973140692,ct,ak47,33,8
74,-2600.0803,519.3127,-167.84436,37.0,BombsiteB,mezii,76561197973140692,ct,ct,15,107,0,head,t,52619,-1781.3461,628.4886,-167.96875,14,Apartments,Tauson,76561198316706174,t,ak47,14,8
93,-752.03125,292.9716,-163.42267,100.0,Underpass,apEX,76561197989744167,ct,ct,3,27,52,right_arm,t,53614,-746.31903,-294.51465,-159.96875,79,Catwalk,PR,76561198310561479,t,ak47,27,8
90,-752.03125,292.9716,-163.42267,100.0,Underpass,apEX,76561197989744167,ct,ct,3,27,25,chest,t,53621,-750.6315,-290.92688,-159.96875,52,Catwalk,PR,76561198310561479,t,ak47,27,8
87,-752.03125,292.9716,-163.42267,100.0,Underpass,apEX,76561197989744167,ct,ct,3,27,0,chest,t,53633,-749.3238,-291.9911,-159.96875,25,Catwalk,PR,76561198310561479,t,ak47,25,8
99,-706.9593,-834.30023,-263.96875,100.0,Connector,flameZ,76561197978835160,ct,ct,1,1,99,generic,t,58905,182.65564,-182.59296,-151.96875,100,TopofMid,REZ,76561198034172415,t,hegrenade,1,9
85,-1766.8728,553.03894,-165.71875,100.0,BombsiteB,mezii,76561197973140692,ct,ct,15,107,0,head,t,60210,-831.2512,92.38906,-166.1596,100,Catwalk,ztr,76561199009468655,t,ak47,100,9
