armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
78,277.90802,1709.4132,62.44482,100.0,ShortStairs,CacaNito,76561198263656468,t,ct,3,26,0,chest,t,22343,654.43463,2622.7288,94.56788,22,ExtendedA,torzsi,76561198355739212,ct,ak47,22,3
100,1379.2976,2189.1272,-4.1776733,100.0,LongA,xertioN,76561198193174134,ct,ct,0,1,99,generic,t,28337,1004.42114,1115.3016,0.68951654,100,LongDoors,pr1metapz,76561198158709510,t,hegrenade,1,4
97,1275.9888,1192.5525,0.6291647,100.0,LongA,CYPHER,76561198251984554,t,ct,3,25,75,chest,t,30033,1255.5547,2986.0107,128.25597,100,BombsiteA,torzsi,76561198355739212,ct,ak47,25,4
94,1562.0812,1347.2688,1.0312481,99.0,LongA,pr1metapz,76561198158709510,t,ct,3,26,49,chest,t,30405,1013.94604,2547.0127,152.03125,75,BombsiteA,torzsi,76561198355739212,ct,ak47,26,4
91,1563.3245,1347.3619,1.0312481,99.0,LongA,pr1metapz,76561198158709510,t,ct,3,26,23,chest,t,30411,1011.0731,2543.744,152.03125,49,BombsiteA,torzsi,76561198355739212,ct,ak47,26,4
88,1564.9694,1346.654,1.03125,99.0,LongA,pr1metapz,76561198158709510,t,ct,3,26,0,chest,t,30418,1007.20825,2541.3723,152.03125,23,BombsiteA,torzsi,76561198355739212,ct,ak47,23,4
92,178.7344,2363.6367,-119.96875,100.0,CTSpawn,Spinx,76561198063336407,ct,ct,4,6,94,generic,t,30594,1325.1622,2084.354,-0.9543457,100,LongA,CYPHER,76561198251984554,t,hegrenade,6,4
97,1302.9376,2502.607,72.27071,94.0,ARamp,CYPHER,76561198251984554,t,ct,3,26,74,chest,t,30733,373.53177,1962.1144,96.03902,100,ExtendedA,Brollan,76561198138828475,ct,ak47,26,4
94,1302.9376,2502.607,72.27071,94.0,ARamp,CYPHER,76561198251984554,t,ct,3,26,48,chest,t,30739,370.55145,1966.9182,96.040794,74,ExtendedA,Brollan,76561198138828475,ct,ak47,26,4
93,1304.6805,2499.5095,71.423744,94.0,ARamp,CYPHER,76561198251984554,t,ct,1,7,41,chest,t,30756,375.00555,1959.2527,96.03813,48,ExtendedA,Brollan,76561198138828475,ct,ak47,7,4
92,347.41052,1992.2413,96.263145,41.0,ExtendedA,Brollan,76561198138828475,ct,ct,0,8,86,generic,t,31018,1387.7108,2602.5732,77.311584,94,ARamp,CYPHER,76561198251984554,t,inferno,8,4
