thrower_steamid,thrower,grenade_type,tick,X,Y,Z,entity_id,round_num
76561197989744167,apEX,CSmokeGrenadeProjectile,5808,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5816,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5816,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5824,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5824,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5832,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5832,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5840,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5840,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5848,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5848,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5856,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5856,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5864,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5864,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5872,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5872,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5880,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5880,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5888,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5888,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5896,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5896,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5904,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5904,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5912,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5912,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5920,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5920,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5928,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5928,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5936,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5936,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5944,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5944,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5952,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5952,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5960,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5960,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5968,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5968,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5976,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5976,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5984,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5984,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5992,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5992,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,6000,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6000,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,6008,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6008,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,6016,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6016,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,6024,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6024,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6032,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6040,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6048,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6056,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6064,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6072,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6080,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6088,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6096,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6104,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6112,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6120,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6128,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6136,2299.875,2172.7812,134.03125,597,1
